"","chr","coordinate","strand"
"1","chr2L",13487,"-"
"2","chr2L",16572,"+"
"3","chr2L",16885,"+"
"4","chr2L",19397,"+"
"5","chr2L",30105,"+"
"6","chr2L",49303,"+"
"7","chr2L",65630,"+"
"8","chr2L",70388,"+"
"9","chr2L",82734,"-"
"10","chr2L",100576,"+"
"11","chr2L",101880,"+"
"12","chr2L",107634,"+"
"13","chr2L",113926,"-"
"14","chr2L",150254,"-"
"15","chr2L",170881,"+"
"16","chr2L",171248,"+"
"17","chr2L",173960,"-"
"18","chr2L",186827,"+"
"19","chr2L",192929,"+"
"20","chr2L",213208,"-"
"21","chr2L",287758,"-"
"22","chr2L",294160,"-"
"23","chr2L",296283,"+"
"24","chr2L",327608,"-"
"25","chr2L",341306,"+"
"26","chr2L",353816,"-"
"27","chr2L",366636,"+"
"28","chr2L",380424,"+"
"29","chr2L",385970,"-"
"30","chr2L",408999,"-"
"31","chr2L",409007,"+"
"32","chr2L",422073,"+"
"33","chr2L",435255,"-"
"34","chr2L",441915,"-"
"35","chr2L",471880,"-"
"36","chr2L",474091,"+"
"37","chr2L",499491,"+"
"38","chr2L",514561,"+"
"39","chr2L",523480,"+"
"40","chr2L",568020,"-"
"41","chr2L",597040,"-"
"42","chr2L",601318,"+"
"43","chr2L",605163,"+"
"44","chr2L",611010,"-"
"45","chr2L",625862,"+"
"46","chr2L",626815,"+"
"47","chr2L",626861,"+"
"48","chr2L",627301,"+"
"49","chr2L",627306,"+"
"50","chr2L",634197,"+"
"51","chr2L",639776,"+"
"52","chr2L",647133,"-"
"53","chr2L",666950,"+"
"54","chr2L",672267,"-"
"55","chr2L",672779,"-"
"56","chr2L",676542,"-"
"57","chr2L",686130,"+"
"58","chr2L",706223,"-"
"59","chr2L",787703,"+"
"60","chr2L",789404,"-"
"61","chr2L",822727,"-"
"62","chr2L",845227,"+"
"63","chr2L",848410,"-"
"64","chr2L",852274,"+"
"65","chr2L",866236,"+"
"66","chr2L",876638,"+"
"67","chr2L",892843,"-"
"68","chr2L",915702,"+"
"69","chr2L",933770,"+"
"70","chr2L",934512,"+"
"71","chr2L",944416,"+"
"72","chr2L",951243,"-"
"73","chr2L",955976,"+"
"74","chr2L",961560,"-"
"75","chr2L",973052,"-"
"76","chr2L",993638,"-"
"77","chr2L",996862,"+"
"78","chr2L",1010513,"-"
"79","chr2L",1026153,"-"
"80","chr2L",1035986,"-"
"81","chr2L",1049353,"-"
"82","chr2L",1051035,"-"
"83","chr2L",1057713,"+"
"84","chr2L",1059367,"+"
"85","chr2L",1062290,"+"
"86","chr2L",1074138,"+"
"87","chr2L",1086203,"+"
"88","chr2L",1086277,"-"
"89","chr2L",1115838,"+"
"90","chr2L",1124990,"+"
"91","chr2L",1125037,"-"
"92","chr2L",1134496,"-"
"93","chr2L",1144470,"+"
"94","chr2L",1164903,"-"
"95","chr2L",1175205,"-"
"96","chr2L",1175755,"-"
"97","chr2L",1178776,"+"
"98","chr2L",1187266,"-"
"99","chr2L",1192753,"-"
"100","chr2L",1195585,"+"
"101","chr2L",1204330,"+"
"102","chr2L",1208022,"+"
"103","chr2L",1221735,"+"
"104","chr2L",1239203,"-"
"105","chr2L",1247896,"-"
"106","chr2L",1255313,"+"
"107","chr2L",1270135,"+"
"108","chr2L",1273346,"-"
"109","chr2L",1292064,"-"
"110","chr2L",1304073,"-"
"111","chr2L",1312436,"+"
"112","chr2L",1319209,"-"
"113","chr2L",1322507,"+"
"114","chr2L",1328373,"-"
"115","chr2L",1332580,"+"
"116","chr2L",1335208,"+"
"117","chr2L",1336527,"-"
"118","chr2L",1340921,"+"
"119","chr2L",1357769,"+"
"120","chr2L",1358865,"+"
"121","chr2L",1362973,"+"
"122","chr2L",1364683,"+"
"123","chr2L",1395363,"+"
"124","chr2L",1396447,"-"
"125","chr2L",1396502,"+"
"126","chr2L",1440442,"-"
"127","chr2L",1447416,"-"
"128","chr2L",1460366,"-"
"129","chr2L",1478462,"-"
"130","chr2L",1481610,"-"
"131","chr2L",1498367,"-"
"132","chr2L",1507502,"-"
"133","chr2L",1509794,"-"
"134","chr2L",1542995,"-"
"135","chr2L",1560672,"+"
"136","chr2L",1560856,"-"
"137","chr2L",1577902,"+"
"138","chr2L",1593754,"+"
"139","chr2L",1594457,"-"
"140","chr2L",1612691,"-"
"141","chr2L",1615124,"+"
"142","chr2L",1615522,"+"
"143","chr2L",1619568,"-"
"144","chr2L",1620448,"-"
"145","chr2L",1621760,"-"
"146","chr2L",1634495,"-"
"147","chr2L",1641953,"+"
"148","chr2L",1647535,"+"
"149","chr2L",1651722,"+"
"150","chr2L",1662396,"+"
"151","chr2L",1664081,"-"
"152","chr2L",1668580,"+"
"153","chr2L",1671298,"-"
"154","chr2L",1682628,"+"
"155","chr2L",1708463,"-"
"156","chr2L",1721246,"-"
"157","chr2L",1727760,"+"
"158","chr2L",1731504,"-"
"159","chr2L",1747474,"-"
"160","chr2L",1752106,"-"
"161","chr2L",1776624,"+"
"162","chr2L",1800639,"-"
"163","chr2L",1800944,"-"
"164","chr2L",1810894,"+"
"165","chr2L",1812108,"-"
"166","chr2L",1834907,"+"
"167","chr2L",1847156,"+"
"168","chr2L",1848869,"-"
"169","chr2L",1850209,"+"
"170","chr2L",1872455,"+"
"171","chr2L",1885791,"+"
"172","chr2L",1909182,"+"
"173","chr2L",1916934,"-"
"174","chr2L",1918077,"-"
"175","chr2L",1919341,"+"
"176","chr2L",1930735,"-"
"177","chr2L",1955755,"-"
"178","chr2L",1993608,"-"
"179","chr2L",2033915,"-"
"180","chr2L",2049504,"-"
"181","chr2L",2053639,"-"
"182","chr2L",2061721,"+"
"183","chr2L",2081511,"-"
"184","chr2L",2090882,"-"
"185","chr2L",2130176,"+"
"186","chr2L",2138858,"-"
"187","chr2L",2142077,"-"
"188","chr2L",2145391,"-"
"189","chr2L",2148990,"-"
"190","chr2L",2170827,"+"
"191","chr2L",2173636,"-"
"192","chr2L",2178970,"+"
"193","chr2L",2192492,"-"
"194","chr2L",2215659,"-"
"195","chr2L",2228340,"-"
"196","chr2L",2252517,"+"
"197","chr2L",2300335,"-"
"198","chr2L",2310886,"+"
"199","chr2L",2315278,"+"
"200","chr2L",2316162,"+"
"201","chr2L",2335177,"+"
"202","chr2L",2345235,"+"
"203","chr2L",2347423,"+"
"204","chr2L",2372928,"+"
"205","chr2L",2379490,"+"
"206","chr2L",2389145,"+"
"207","chr2L",2411609,"+"
"208","chr2L",2412606,"-"
"209","chr2L",2414660,"+"
"210","chr2L",2426891,"+"
"211","chr2L",2443319,"+"
"212","chr2L",2443488,"-"
"213","chr2L",2445044,"-"
"214","chr2L",2451438,"+"
"215","chr2L",2461386,"-"
"216","chr2L",2464887,"+"
"217","chr2L",2467567,"+"
"218","chr2L",2482088,"-"
"219","chr2L",2502005,"+"
"220","chr2L",2504969,"-"
"221","chr2L",2511300,"-"
"222","chr2L",2519326,"-"
"223","chr2L",2519337,"-"
"224","chr2L",2552845,"+"
"225","chr2L",2563015,"+"
"226","chr2L",2566952,"+"
"227","chr2L",2571782,"+"
"228","chr2L",2576335,"+"
"229","chr2L",2602861,"-"
"230","chr2L",2605544,"+"
"231","chr2L",2611221,"-"
"232","chr2L",2628493,"+"
"233","chr2L",2631200,"+"
"234","chr2L",2673113,"+"
"235","chr2L",2688442,"+"
"236","chr2L",2699185,"+"
"237","chr2L",2705483,"-"
"238","chr2L",2716692,"-"
"239","chr2L",2738951,"-"
"240","chr2L",2746449,"+"
"241","chr2L",2752936,"-"
"242","chr2L",2767700,"-"
"243","chr2L",2774014,"+"
"244","chr2L",2776159,"-"
"245","chr2L",2790887,"-"
"246","chr2L",2802375,"+"
"247","chr2L",2812708,"+"
"248","chr2L",2824575,"+"
"249","chr2L",2866618,"+"
"250","chr2L",2872045,"+"
"251","chr2L",2886833,"+"
"252","chr2L",2891799,"+"
"253","chr2L",2892207,"-"
"254","chr2L",2893761,"+"
"255","chr2L",2902620,"+"
"256","chr2L",2904893,"-"
"257","chr2L",2914285,"+"
"258","chr2L",2917265,"+"
"259","chr2L",2933595,"-"
"260","chr2L",2939341,"+"
"261","chr2L",2967617,"-"
"262","chr2L",2968278,"+"
"263","chr2L",2977352,"+"
"264","chr2L",3036453,"-"
"265","chr2L",3052641,"-"
"266","chr2L",3060714,"+"
"267","chr2L",3085876,"+"
"268","chr2L",3088247,"-"
"269","chr2L",3090596,"-"
"270","chr2L",3096153,"+"
"271","chr2L",3109049,"+"
"272","chr2L",3126871,"-"
"273","chr2L",3129323,"+"
"274","chr2L",3143037,"-"
"275","chr2L",3156849,"+"
"276","chr2L",3180893,"-"
"277","chr2L",3198639,"+"
"278","chr2L",3220822,"-"
"279","chr2L",3225941,"-"
"280","chr2L",3228252,"-"
"281","chr2L",3260486,"-"
"282","chr2L",3275642,"+"
"283","chr2L",3278470,"+"
"284","chr2L",3304107,"-"
"285","chr2L",3312556,"+"
"286","chr2L",3314353,"+"
"287","chr2L",3343671,"-"
"288","chr2L",3344066,"+"
"289","chr2L",3344678,"+"
"290","chr2L",3367785,"-"
"291","chr2L",3396625,"-"
"292","chr2L",3401957,"+"
"293","chr2L",3406584,"+"
"294","chr2L",3443419,"+"
"295","chr2L",3444410,"+"
"296","chr2L",3448066,"+"
"297","chr2L",3449886,"+"
"298","chr2L",3465777,"-"
"299","chr2L",3489775,"+"
"300","chr2L",3537554,"-"
"301","chr2L",3540456,"+"
"302","chr2L",3578571,"+"
"303","chr2L",3655949,"-"
"304","chr2L",3670215,"+"
"305","chr2L",3678611,"-"
"306","chr2L",3690907,"-"
"307","chr2L",3704450,"-"
"308","chr2L",3720934,"+"
"309","chr2L",3722640,"-"
"310","chr2L",3726443,"-"
"311","chr2L",3745808,"-"
"312","chr2L",3757765,"+"
"313","chr2L",3759491,"+"
"314","chr2L",3760171,"-"
"315","chr2L",3774224,"-"
"316","chr2L",3776758,"+"
"317","chr2L",3813688,"-"
"318","chr2L",3840101,"+"
"319","chr2L",3856643,"+"
"320","chr2L",3863750,"+"
"321","chr2L",3866745,"+"
"322","chr2L",3873178,"+"
"323","chr2L",3883719,"+"
"324","chr2L",3885375,"-"
"325","chr2L",3896088,"-"
"326","chr2L",3908606,"+"
"327","chr2L",3917280,"-"
"328","chr2L",3929494,"-"
"329","chr2L",3952940,"+"
"330","chr2L",3955676,"-"
"331","chr2L",3960405,"+"
"332","chr2L",3965627,"-"
"333","chr2L",3976840,"-"
"334","chr2L",3990746,"+"
"335","chr2L",3998787,"-"
"336","chr2L",4021102,"+"
"337","chr2L",4043616,"+"
"338","chr2L",4049022,"-"
"339","chr2L",4049274,"+"
"340","chr2L",4057716,"-"
"341","chr2L",4057717,"-"
"342","chr2L",4061517,"-"
"343","chr2L",4066403,"+"
"344","chr2L",4077969,"+"
"345","chr2L",4090902,"-"
"346","chr2L",4098252,"+"
"347","chr2L",4110159,"-"
"348","chr2L",4116257,"-"
"349","chr2L",4142551,"-"
"350","chr2L",4142711,"-"
"351","chr2L",4143051,"-"
"352","chr2L",4152593,"-"
"353","chr2L",4158555,"+"
"354","chr2L",4159643,"-"
"355","chr2L",4162661,"+"
"356","chr2L",4163642,"+"
"357","chr2L",4163710,"+"
"358","chr2L",4173473,"-"
"359","chr2L",4190970,"-"
"360","chr2L",4195164,"+"
"361","chr2L",4219730,"+"
"362","chr2L",4220462,"+"
"363","chr2L",4222804,"-"
"364","chr2L",4224521,"+"
"365","chr2L",4254903,"-"
"366","chr2L",4262113,"+"
"367","chr2L",4277989,"-"
"368","chr2L",4293771,"+"
"369","chr2L",4295942,"+"
"370","chr2L",4317743,"-"
"371","chr2L",4338159,"+"
"372","chr2L",4344878,"+"
"373","chr2L",4360943,"+"
"374","chr2L",4369521,"+"
"375","chr2L",4404978,"-"
"376","chr2L",4413211,"-"
"377","chr2L",4413648,"-"
"378","chr2L",4414013,"-"
"379","chr2L",4419683,"-"
"380","chr2L",4448196,"+"
"381","chr2L",4470445,"-"
"382","chr2L",4472389,"+"
"383","chr2L",4486465,"+"
"384","chr2L",4513953,"+"
"385","chr2L",4526021,"+"
"386","chr2L",4574834,"-"
"387","chr2L",4583202,"-"
"388","chr2L",4592800,"+"
"389","chr2L",4595501,"+"
"390","chr2L",4600485,"-"
"391","chr2L",4603092,"-"
"392","chr2L",4605577,"-"
"393","chr2L",4613897,"-"
"394","chr2L",4623243,"-"
"395","chr2L",4639833,"-"
"396","chr2L",4644306,"-"
"397","chr2L",4644483,"-"
"398","chr2L",4644576,"-"
"399","chr2L",4644930,"-"
"400","chr2L",4645107,"-"
"401","chr2L",4645284,"-"
"402","chr2L",4645461,"-"
"403","chr2L",4645638,"-"
"404","chr2L",4645992,"-"
"405","chr2L",4658671,"+"
"406","chr2L",4669992,"-"
"407","chr2L",4672509,"-"
"408","chr2L",4694225,"+"
"409","chr2L",4695054,"+"
"410","chr2L",4712444,"-"
"411","chr2L",4715074,"+"
"412","chr2L",4733204,"+"
"413","chr2L",4734901,"+"
"414","chr2L",4741092,"+"
"415","chr2L",4786578,"-"
"416","chr2L",4795728,"-"
"417","chr2L",4818527,"-"
"418","chr2L",4850206,"-"
"419","chr2L",4888608,"+"
"420","chr2L",4950274,"+"
"421","chr2L",4955945,"+"
"422","chr2L",4993661,"-"
"423","chr2L",5012143,"-"
"424","chr2L",5019583,"-"
"425","chr2L",5020937,"+"
"426","chr2L",5051282,"-"
"427","chr2L",5063110,"+"
"428","chr2L",5071284,"-"
"429","chr2L",5072510,"-"
"430","chr2L",5082694,"-"
"431","chr2L",5088558,"-"
"432","chr2L",5116544,"-"
"433","chr2L",5147783,"+"
"434","chr2L",5150487,"+"
"435","chr2L",5158986,"+"
"436","chr2L",5163291,"+"
"437","chr2L",5172437,"+"
"438","chr2L",5179135,"+"
"439","chr2L",5179972,"+"
"440","chr2L",5183731,"+"
"441","chr2L",5208397,"+"
"442","chr2L",5208923,"+"
"443","chr2L",5223163,"+"
"444","chr2L",5260276,"+"
"445","chr2L",5260295,"-"
"446","chr2L",5260428,"-"
"447","chr2L",5284658,"-"
"448","chr2L",5287373,"-"
"449","chr2L",5323029,"+"
"450","chr2L",5327211,"-"
"451","chr2L",5360221,"-"
"452","chr2L",5364762,"-"
"453","chr2L",5367664,"-"
"454","chr2L",5376640,"+"
"455","chr2L",5381256,"+"
"456","chr2L",5384797,"+"
"457","chr2L",5389517,"-"
"458","chr2L",5394800,"-"
"459","chr2L",5397581,"-"
"460","chr2L",5421931,"+"
"461","chr2L",5439308,"+"
"462","chr2L",5466569,"-"
"463","chr2L",5482508,"-"
"464","chr2L",5487307,"-"
"465","chr2L",5520332,"-"
"466","chr2L",5521711,"+"
"467","chr2L",5537635,"-"
"468","chr2L",5576729,"+"
"469","chr2L",5618333,"-"
"470","chr2L",5624460,"+"
"471","chr2L",5650285,"-"
"472","chr2L",5658303,"+"
"473","chr2L",5668552,"-"
"474","chr2L",5670978,"-"
"475","chr2L",5671036,"-"
"476","chr2L",5730689,"+"
"477","chr2L",5738140,"-"
"478","chr2L",5777486,"-"
"479","chr2L",5784063,"-"
