A_pos,peak,pred
chr2L_1265,chr2L_1314,0.0113184479997
chr2L_1266,chr2L_1314,0.00449785264209
chr2L_1267,chr2L_1314,0.0356375426054
chr2L_1271,chr2L_1314,0.32208815217
chr2L_1272,chr2L_1314,0.00578730693087
chr2L_1276,chr2L_1314,0.471618056297
chr2L_1278,chr2L_1314,0.00658612372354
chr2L_1279,chr2L_1314,0.0228576436639
chr2L_1283,chr2L_1314,0.0148021010682
chr2L_1285,chr2L_1314,0.014904816635
chr2L_1288,chr2L_1314,0.0094467299059
chr2L_1293,chr2L_1314,0.0063037192449
chr2L_1295,chr2L_1314,0.228688031435
chr2L_1303,chr2L_1314,0.0303148292005
chr2L_1306,chr2L_1314,0.0200870167464
chr2L_1314,chr2L_1314,0.00519028678536
chr2L_1316,chr2L_1314,0.20537148416
chr2L_1317,chr2L_1314,0.000998081522994
chr2L_1319,chr2L_1314,0.0155966812745
chr2L_1322,chr2L_1314,0.0123765962198
chr2L_1324,chr2L_1314,0.116420328617
chr2L_1326,chr2L_1314,0.025912521407
chr2L_1328,chr2L_1314,0.0361112207174
chr2L_1330,chr2L_1314,0.139263063669
chr2L_1333,chr2L_1314,0.0154526019469
chr2L_1337,chr2L_1314,0.0348113514483
chr2L_1341,chr2L_1314,0.728465735912
chr2L_1343,chr2L_1314,0.376258581877
chr2L_1346,chr2L_1314,0.0730345547199
chr2L_1347,chr2L_1314,0.567893385887
chr2L_1349,chr2L_1314,0.0145941562951
chr2L_1351,chr2L_1314,0.638065040112
chr2L_1353,chr2L_1314,0.0930092483759
chr2L_1354,chr2L_1314,0.0998020321131
chr2L_1356,chr2L_1314,0.171036988497
chr2L_1357,chr2L_1314,0.012336471118
chr2L_1358,chr2L_1314,0.161554589868
chr2L_1359,chr2L_1314,0.0490289516747
chr2L_2499,chr2L_2547,0.908643245697
chr2L_2500,chr2L_2547,0.00255612493493
chr2L_2504,chr2L_2547,0.0981518551707
chr2L_2514,chr2L_2547,0.00215597706847
chr2L_2516,chr2L_2547,0.0245936587453
chr2L_2518,chr2L_2547,0.21333155036
chr2L_2521,chr2L_2547,0.010043291375
chr2L_2526,chr2L_2547,0.00605349522084
chr2L_2528,chr2L_2547,0.193791612983
chr2L_2536,chr2L_2547,0.0182157177478
chr2L_2539,chr2L_2547,0.031056271866
chr2L_2547,chr2L_2547,0.00730598997325
chr2L_2549,chr2L_2547,0.133661612868
chr2L_2550,chr2L_2547,0.00104910973459
chr2L_2552,chr2L_2547,0.010218527168
chr2L_2555,chr2L_2547,0.00191142642871
chr2L_2558,chr2L_2547,0.00226737186313
chr2L_2562,chr2L_2547,0.14159335196
chr2L_2566,chr2L_2547,0.978746950626
chr2L_2568,chr2L_2547,0.824144482613
chr2L_2571,chr2L_2547,0.175621882081
chr2L_2572,chr2L_2547,0.183731883764
