chr,coordinate,strand,IPDRatio,frac,fracLow,fracUp
chr2L,13487,-,3.11,1,0.757,1
chr2L,16572,+,3.51,0.985,0.743,1
chr2L,16885,+,3.2,1,0.794,1
chr2L,19397,+,2.97,0.985,0.752,1
chr2L,30105,+,2.75,0.937,0.719,1
chr2L,49303,+,2.5,1,0.711,1
chr2L,65630,+,3.67,1,0.837,1
chr2L,70388,+,2.69,0.999,0.87,1
chr2L,82734,-,3.34,1,0.889,1
chr2L,100576,+,1.84,0.859,0.693,0.92
chr2L,101880,+,1.71,0.221,0.072,0.366
chr2L,107634,+,3.11,1,0.751,1
chr2L,113926,-,2.25,0.989,0.724,1
chr2L,150254,-,3.38,0.984,0.709,1
chr2L,170881,+,3.04,1,0.788,1
chr2L,171248,+,5.18,0.936,0.707,1
chr2L,173960,-,3.88,1,0.752,1
chr2L,186827,+,2.98,0.993,0.706,1
chr2L,192929,+,2.33,1,0.739,1
chr2L,213208,-,2.8,0.985,0.701,1
chr2L,287758,-,2.25,1,0.87,1
chr2L,294160,-,1.88,0.774,0.695,0.85
chr2L,296283,+,3.63,0.984,0.73,1
chr2L,327608,-,1.86,0.77,0.634,0.911
chr2L,341306,+,2.44,1,0.73,1
chr2L,353816,-,2.53,0.997,0.849,1
chr2L,366636,+,1.64,0.849,0.73,0.885
chr2L,380424,+,4,0.964,0.711,1
chr2L,385970,-,3.12,1,0.729,1
chr2L,408999,-,2.75,1,0.881,1
chr2L,409007,+,3.33,1,0.853,1
chr2L,422073,+,2.9,1,0.702,1
chr2L,435255,-,2.35,1,1,1
chr2L,441915,-,3.58,1,0.976,1
chr2L,471880,-,2.46,1,0.75,1
chr2L,474091,+,2.31,0.771,0.666,0.894
chr2L,499491,+,4.27,1,0.954,1
chr2L,514561,+,4.09,1,0.92,1
chr2L,523480,+,2.23,1,0.744,1
chr2L,568020,-,3,0.922,0.808,1
chr2L,597040,-,1.68,0.776,0.685,0.832
chr2L,601318,+,3.33,1,0.799,1
chr2L,605163,+,3.62,0.998,0.787,1
chr2L,611010,-,3.4,0.945,0.778,1
chr2L,625862,+,2,0.381,0.22,0.516
chr2L,626815,+,1.9,0.64,0.454,0.75
chr2L,626861,+,2.37,0.472,0.331,0.595
chr2L,627301,+,1.97,0.171,0.033,0.299
chr2L,627306,+,1.69,0.178,0.072,0.284
chr2L,634197,+,2.39,1,0.903,1
