chr,coordinate,strand,IPDRatio,frac,fracLow,fracUp
Ecoli,620,+,7.42,1,0.81,1
Ecoli,728,-,7.39,0.978,0.722,1
Ecoli,782,+,7.36,1,1,1
Ecoli,783,-,6.2,0.964,0.711,1
Ecoli,881,+,4.63,1,0.701,1
Ecoli,1168,+,4.17,1,0.799,1
Ecoli,1169,-,7.25,1,0.846,1
Ecoli,1635,+,8.14,1,0.955,1
Ecoli,1636,-,6.72,1,0.925,1
Ecoli,1724,+,5.66,0.955,0.732,1
Ecoli,2022,-,4.69,0.939,0.709,1
Ecoli,2516,+,5.21,1,0.898,1
Ecoli,2762,+,4.36,1,0.859,1
Ecoli,3264,-,6.25,1,0.818,1
Ecoli,3757,-,4.41,0.929,0.726,1
Ecoli,3906,-,6.83,1,0.846,1
Ecoli,4569,-,6.98,1,0.871,1
Ecoli,4821,+,6.07,0.991,0.858,1
Ecoli,4822,-,4.53,1,0.985,1
Ecoli,4917,+,7,0.971,0.908,1
Ecoli,4918,-,5.48,1,0.898,1
Ecoli,5346,+,6.86,0.986,0.826,1
Ecoli,5347,-,5.24,1,0.881,1
Ecoli,5491,-,6.14,0.987,0.845,1
Ecoli,5852,+,5.97,0.911,0.77,1
Ecoli,5853,-,6.19,0.985,0.824,1
Ecoli,6034,+,4.4,0.957,0.783,1
Ecoli,6035,-,6.26,0.996,0.894,1
Ecoli,6062,+,5.85,1,0.899,1
Ecoli,6063,-,5.2,0.904,0.737,1
Ecoli,6356,+,5.19,1,0.853,1
Ecoli,6357,-,5.62,1,0.917,1
Ecoli,6515,+,5.08,0.997,0.952,1
Ecoli,6516,-,5.84,1,0.974,1
Ecoli,6598,+,5.98,1,0.915,1
Ecoli,6788,+,7.08,1,0.898,1
Ecoli,6789,-,5.45,0.939,0.722,1
Ecoli,6803,+,5.27,0.916,0.76,1
Ecoli,6804,-,5.14,1,0.837,1
Ecoli,7917,+,4.79,0.944,0.768,1
Ecoli,7918,-,4.3,0.966,0.789,0.998
Ecoli,8432,-,6.3,0.998,0.98,1
Ecoli,8446,-,4.57,0.962,0.79,1
Ecoli,8583,+,4.29,0.972,0.81,1
Ecoli,8617,+,5.58,0.984,0.82,1
Ecoli,8618,-,4.9,0.984,0.831,1
Ecoli,8628,+,6.46,0.997,0.941,1
Ecoli,8760,+,6.21,0.99,0.891,1
Ecoli,8761,-,5,1,0.882,1
Ecoli,8837,-,5.49,0.977,0.934,1
Ecoli,9100,+,3.81,1,0.907,1
Ecoli,9101,-,6.55,0.885,0.739,1
Ecoli,9174,+,4.63,0.985,0.78,1
Ecoli,9175,-,6.3,0.881,0.707,1
Ecoli,9181,+,4.08,0.984,0.789,1
Ecoli,9182,-,5.18,0.958,0.771,1
Ecoli,9343,+,4.37,1,0.823,1
Ecoli,9463,-,4.24,0.801,0.652,0.935
Ecoli,9621,+,6.33,1,0.894,1
Ecoli,9622,-,6.24,1,1,1
Ecoli,9648,+,6.05,0.944,0.785,1
Ecoli,9649,-,6.35,0.987,0.872,1
Ecoli,9690,+,5.62,0.957,0.769,0.994
Ecoli,9691,-,4.94,0.933,0.773,1
Ecoli,9916,+,6.97,0.978,0.75,1
Ecoli,9917,-,7.37,1,0.985,1
Ecoli,10019,+,5.41,0.873,0.703,1
Ecoli,10076,+,5.94,0.981,0.839,1
Ecoli,10077,-,4.39,0.985,0.845,1
Ecoli,10601,+,5.8,1,0.916,1
Ecoli,10602,-,6.16,1,0.92,1
Ecoli,11328,-,8.33,1,0.891,1
Ecoli,11494,+,5.59,1,1,1
