A_pos,peak,pred
chr2L_1264,chr2L_1314,0.0312146432698
chr2L_1268,chr2L_1314,0.0071711349301
chr2L_1270,chr2L_1314,0.0223594475538
chr2L_1277,chr2L_1314,0.0235829297453
chr2L_1280,chr2L_1314,0.0180989168584
chr2L_1281,chr2L_1314,0.0132692102343
chr2L_1282,chr2L_1314,0.0301333330572
chr2L_1284,chr2L_1314,0.0366312526166
chr2L_1287,chr2L_1314,0.154608085752
chr2L_1294,chr2L_1314,0.0405664369464
chr2L_1299,chr2L_1314,0.0500667691231
chr2L_1301,chr2L_1314,0.00424264650792
chr2L_1304,chr2L_1314,0.0675082653761
chr2L_1310,chr2L_1314,0.0524772666395
chr2L_1311,chr2L_1314,0.128279954195
chr2L_1313,chr2L_1314,0.0201077871025
chr2L_1315,chr2L_1314,0.00730655668303
chr2L_1327,chr2L_1314,0.156067878008
chr2L_1329,chr2L_1314,0.00283013726585
chr2L_1331,chr2L_1314,0.0234381631017
chr2L_1332,chr2L_1314,0.049491353333
chr2L_1335,chr2L_1314,0.226483911276
chr2L_1345,chr2L_1314,0.00395664200187
chr2L_1355,chr2L_1314,0.01134865731
chr2L_1360,chr2L_1314,0.0597774460912
chr2L_2501,chr2L_2547,0.0561740957201
chr2L_2502,chr2L_2547,0.038150459528
chr2L_2503,chr2L_2547,0.0186713449657
chr2L_2505,chr2L_2547,0.0738840699196
chr2L_2507,chr2L_2547,0.00529769482091
chr2L_2510,chr2L_2547,0.00963590014726
chr2L_2512,chr2L_2547,0.0021816843655
chr2L_2513,chr2L_2547,0.204491719604
chr2L_2515,chr2L_2547,0.029891340062
chr2L_2517,chr2L_2547,0.00884243007749
chr2L_2520,chr2L_2547,0.179370895028
chr2L_2527,chr2L_2547,0.0466667115688
chr2L_2532,chr2L_2547,0.0458549894392
chr2L_2534,chr2L_2547,0.00367642613128
chr2L_2537,chr2L_2547,0.0698164477944
chr2L_2543,chr2L_2547,0.03487162292
chr2L_2544,chr2L_2547,0.151609197259
chr2L_2546,chr2L_2547,0.0142015684396
chr2L_2548,chr2L_2547,0.00987609755248
chr2L_2556,chr2L_2547,0.195894852281
chr2L_2557,chr2L_2547,0.0145165072754
chr2L_2560,chr2L_2547,0.0461183637381
chr2L_2582,chr2L_2547,0.0150563986972
chr2L_2584,chr2L_2547,0.00170324614737
chr2L_2587,chr2L_2547,0.0409498438239
chr2L_2592,chr2L_2547,0.025815712288
chr2L_2593,chr2L_2547,0.084963299334
chr2L_2594,chr2L_2547,0.0711990743876
chr2L_690490,chr2L_690537,0.0251586250961
chr2L_690496,chr2L_690537,0.000723628618289
chr2L_690505,chr2L_690537,0.0243952013552
chr2L_690507,chr2L_690537,0.00401409482583
chr2L_690514,chr2L_690537,0.0164516102523
chr2L_690516,chr2L_690537,0.00958066433668
chr2L_690521,chr2L_690537,0.00701487343758
chr2L_690523,chr2L_690537,0.0146287856624
chr2L_690525,chr2L_690537,0.00768309505656
chr2L_690533,chr2L_690537,0.018865916878
chr2L_690534,chr2L_690537,0.0309254322201
chr2L_690535,chr2L_690537,0.00527590792626
chr2L_690537,chr2L_690537,0.012229450047
chr2L_690545,chr2L_690537,0.812952637672
chr2L_690546,chr2L_690537,0.377561539412
chr2L_690549,chr2L_690537,0.06830252707
chr2L_690550,chr2L_690537,0.125166505575
chr2L_690557,chr2L_690537,0.0493893697858
chr2L_690558,chr2L_690537,0.242139473557
chr2L_690563,chr2L_690537,0.161047801375
chr2L_690564,chr2L_690537,0.0113672269508
chr2L_690565,chr2L_690537,0.00114583910909
chr2L_690566,chr2L_690537,0.033183593303
chr2L_690570,chr2L_690537,0.202274024487
chr2L_690571,chr2L_690537,0.0720029845834
chr2L_690573,chr2L_690537,0.00899466872215
chr2L_690584,chr2L_690537,0.39859688282
chr2L_690586,chr2L_690537,0.0681387260556
chr2L_998514,chr2L_998563,0.00798397138715
chr2L_998517,chr2L_998563,0.00704529788345
chr2L_998518,chr2L_998563,0.00690409587696
chr2L_998520,chr2L_998563,0.0155003666878
chr2L_998523,chr2L_998563,0.0426813624799
chr2L_998524,chr2L_998563,0.0155000826344
