chr,coordinate,strand,IPD_ratio,frac,fracLow,fracUp
Chr1,646,-,5.55,0.996,0.874,0.998
Chr1,803,-,1.55,0.768,0.718,0.809
Chr1,941,+,2.01,1,0.875,1
Chr1,2975,+,1.87,0.213,0.066,0.338
Chr1,4723,+,1.64,0.768,0.578,0.809
Chr1,4969,+,1.96,0.31,0.181,0.474
Chr1,4980,+,1.98,0.378,0.223,0.504
Chr1,5126,+,1.77,0.377,0.229,0.505
Chr1,5401,+,1.99,0.531,0.389,0.687
Chr1,5461,+,2.66,0.605,0.468,0.744
Chr1,7016,+,1.54,0.565,0.432,0.687
Chr1,7198,+,1.55,0.27,0.119,0.33
Chr1,7938,+,1.84,0.932,0.804,1
Chr1,8019,+,2.28,0.632,0.47,0.759
Chr1,8276,+,2.88,0.647,0.537,0.757
Chr1,8686,-,3.18,0.888,0.709,1
Chr1,8787,+,2.06,0.422,0.301,0.513
Chr1,8861,+,1.39,0.251,0.129,0.382
Chr1,10247,+,1.81,0.41,0.306,0.505
Chr1,11314,+,1.47,0.19,0.094,0.306
Chr1,11607,+,1.8,0.388,0.268,0.493
Chr1,11880,+,1.71,0.378,0.269,0.478
Chr1,12017,+,1.92,0.648,0.543,0.76
Chr1,12250,+,1.45,0.383,0.219,0.451
Chr1,13208,+,1.97,0.411,0.284,0.524
Chr1,13896,-,3.66,0.984,0.764,1
Chr1,15378,+,1.52,0.155,0.049,0.272
Chr1,29184,-,8.12,1,1,1
Chr1,40214,-,4.23,0.959,0.719,1
Chr1,40245,+,3.34,0.964,0.711,1
Chr1,44972,+,3.87,1,0.771,1
Chr1,60289,+,2.61,0.993,0.723,1
Chr1,97279,+,3.07,1,0.897,1
Chr1,103288,+,2.9,1,0.753,1
Chr1,103622,+,5.48,1,0.831,1
Chr1,122047,+,4.34,0.985,0.8,1
Chr1,122310,+,2.69,0.993,0.791,0.999
Chr1,122956,+,3.43,0.942,0.749,1
Chr1,123180,-,5.32,0.991,0.808,0.996
Chr1,131998,-,3.32,0.971,0.962,0.995
Chr1,134703,+,1.67,0.409,0.275,0.556
Chr1,135720,+,3.52,1,0.829,1
Chr1,150921,-,4.02,0.224,0.118,0.362
Chr1,166113,-,2.94,1,1,1
Chr1,180584,-,2.2,1,0.835,1
